Unit,Time,Setting1,Setting2,Setting3,FanInletTemp,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,FanInletPres,BypassDuctPres,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,EnginePresRatio,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BurnerFuelAirRatio,BleedEnthalpy,DemandFanSpeed,DemandCorrFanSpeed,HPTCoolantBleed,LPTCoolantBleed
34,1,0.0035,-0.0002,100,518.67,642.44,1586.84,1407.9,14.62,21.61,553.56,2388.07,9058.32,1.3,47.33,521.54,2388.07,8143.4,8.4248,0.03,392,2388,100,38.76,23.242
34,2,-0.002,-0.0001,100,518.67,642.16,1585.43,1404.51,14.62,21.61,553.62,2388.12,9063.24,1.3,47.14,521.2,2387.99,8143.09,8.3995,0.03,394,2388,100,38.8,23.2772
34,3,-0.0002,0.0004,100,518.67,642.87,1587.98,1403.07,14.62,21.61,554.76,2388.07,9059.4,1.3,47.36,521.65,2388.08,8138.5,8.4287,0.03,392,2388,100,39.06,23.2365
34,4,-0.0029,0.0003,100,518.67,642.22,1591.59,1400.73,14.62,21.61,553.86,2388.14,9054.09,1.3,47.56,521.94,2388.08,8139.79,8.4225,0.03,394,2388,100,38.93,23.3723
34,5,0.0001,0.0003,100,518.67,641.69,1590.08,1404.55,14.62,21.61,554.34,2388.07,9049.74,1.3,47.58,521.99,2388.12,8138.64,8.409,0.03,392,2388,100,38.78,23.2569
34,6,-0.0015,-0.0002,100,518.67,642.1,1591.54,1409.35,14.62,21.61,554.03,2388.03,9057.65,1.3,47.37,521.91,2388.06,8140.77,8.4086,0.03,394,2388,100,38.92,23.3895
34,7,-0.0012,0.0005,100,518.67,642.83,1587.08,1403.87,14.62,21.61,553.57,2388.08,9060.15,1.3,47.29,521.68,2388.01,8138.34,8.4453,0.03,393,2388,100,38.85,23.4315
34,8,0.0003,0.0006,100,518.67,642.41,1579.1,1401.76,14.62,21.61,553.76,2388.12,9053.28,1.3,47.32,521.63,2388.07,8134.38,8.4285,0.03,390,2388,100,38.9,23.3029
34,9,0.0006,0.0004,100,518.67,642.63,1589.51,1405.36,14.62,21.61,553.66,2388.1,9062.06,1.3,47.55,521.82,2388.04,8140.72,8.4172,0.03,392,2388,100,38.93,23.4358
34,10,-0.0024,-0.0002,100,518.67,642.77,1589.45,1401.62,14.62,21.61,554.33,2388.06,9057.7,1.3,47.3,521.15,2388.03,8134.58,8.4137,0.03,393,2388,100,38.93,23.3387
34,11,-0.0026,-0.0002,100,518.67,642.81,1594.28,1408.71,14.62,21.61,553.93,2388.08,9056.48,1.3,47.62,521.55,2388.08,8132.44,8.4251,0.03,393,2388,100,38.72,23.2583
34,12,-0.003,0,100,518.67,642.96,1580.19,1405.5,14.62,21.61,554.06,2388.05,9063.23,1.3,47.58,521.37,2388.11,8134.78,8.4601,0.03,391,2388,100,38.77,23.2702
34,13,-0.0006,-0.0001,100,518.67,641.8,1589.15,1406.61,14.62,21.61,554.03,2388.07,9066.11,1.3,47.23,521.28,2388.04,8140.99,8.4304,0.03,394,2388,100,38.88,23.3323
34,14,0.0005,0.0001,100,518.67,642.14,1589.91,1407.89,14.62,21.61,553.93,2388.09,9062.29,1.3,47.56,522.32,2388.1,8139.32,8.443,0.03,394,2388,100,38.8,23.2588
34,15,0.0023,0.0004,100,518.67,642.55,1593.95,1410.94,14.62,21.61,554.52,2388.03,9059.18,1.3,47.24,521.84,2388.12,8138.5,8.4345,0.03,394,2388,100,38.9,23.302
34,16,0.0016,0.0005,100,518.67,642.41,1582.81,1393.39,14.62,21.61,553.28,2388.09,9061.95,1.3,47.34,521.66,2388.06,8138.61,8.4385,0.03,393,2388,100,38.83,23.349
34,17,-0.0029,-0.0001,100,518.67,642.34,1582.9,1411.03,14.62,21.61,552.75,2388.09,9059.53,1.3,47.4,521.96,2388.09,8141.71,8.43,0.03,391,2388,100,38.85,23.4101
34,18,-0.0017,0.0002,100,518.67,642.16,1590.36,1406.15,14.62,21.61,553.35,2388.05,9051.31,1.3,47.25,522.21,2388.06,8133.08,8.4408,0.03,393,2388,100,38.71,23.2618
34,19,0.0016,-0,100,518.67,642.81,1582.26,1407.36,14.62,21.61,554.11,2388.07,9062.65,1.3,47.48,521.71,2388.07,8144.16,8.4302,0.03,392,2388,100,38.86,23.304
34,20,0.0013,0.0005,100,518.67,642.8,1593.16,1411.01,14.62,21.61,553.86,2388.05,9054.32,1.3,47.3,522.18,2388.1,8137.77,8.4538,0.03,391,2388,100,38.87,23.2972
34,21,-0.0014,-0.0002,100,518.67,642.61,1595.56,1411.06,14.62,21.61,553.89,2388.08,9050.34,1.3,47.36,521.49,2388.07,8138.26,8.4209,0.03,393,2388,100,38.84,23.3097
34,22,-0.0025,0.0006,100,518.67,642.55,1597.6,1400.88,14.62,21.61,553.72,2388.04,9062.39,1.3,47.31,521.44,2388.07,8135.66,8.453,0.03,392,2388,100,38.88,23.2835
34,23,0.0002,-0.0002,100,518.67,642.62,1581.63,1399.94,14.62,21.61,553.26,2388.06,9056.45,1.3,47.38,522,2388.09,8140.03,8.4402,0.03,391,2388,100,38.9,23.394
34,24,0.0014,0.0006,100,518.67,642.81,1587.33,1407.67,14.62,21.61,553.41,2388.06,9062.28,1.3,47.54,521.17,2388.1,8141.39,8.4283,0.03,392,2388,100,38.91,23.3411
34,25,-0.0016,-0.0001,100,518.67,642.05,1595.39,1409.69,14.62,21.61,553.11,2388.16,9049.94,1.3,47.36,521.91,2388.06,8135.63,8.401,0.03,392,2388,100,38.82,23.1221
34,26,-0.0054,0.0006,100,518.67,642.77,1589.52,1399.66,14.62,21.61,554.17,2388.07,9062.43,1.3,47.37,521.89,2388.15,8139.21,8.427,0.03,393,2388,100,38.74,23.3325
34,27,-0.0005,-0.0001,100,518.67,642.68,1590.23,1409.37,14.62,21.61,554.33,2388.08,9058.08,1.3,47.66,521.7,2388.02,8138.23,8.4129,0.03,394,2388,100,38.98,23.358
34,28,-0.0005,0.0001,100,518.67,642.63,1592.38,1405.91,14.62,21.61,553.7,2388.08,9060.69,1.3,47.37,522,2388.07,8139.31,8.4308,0.03,392,2388,100,38.86,23.4111
34,29,0.0049,0.0004,100,518.67,642.19,1587.72,1405.95,14.62,21.61,554.04,2388.05,9051.73,1.3,47.52,521.75,2388.04,8135.5,8.4775,0.03,393,2388,100,38.89,23.3982
34,30,0.003,0.0003,100,518.67,642.39,1592.08,1413.57,14.62,21.61,554.3,2388.07,9064.83,1.3,47.3,521.87,2388.02,8137.81,8.4225,0.03,394,2388,100,38.9,23.3223
34,31,0.0033,0.0002,100,518.67,642.08,1587.7,1406.34,14.62,21.61,553.52,2388.11,9052.28,1.3,47.58,521.41,2388.1,8142.86,8.4347,0.03,392,2388,100,38.86,23.4244
34,32,-0.001,-0.0002,100,518.67,642.58,1588.79,1412.95,14.62,21.61,553.53,2388.02,9064.11,1.3,47.57,521.57,2388.06,8138.13,8.4352,0.03,392,2388,100,38.95,23.1939
34,33,-0.0023,0,100,518.67,642.22,1586.02,1400.52,14.62,21.61,554.39,2388.08,9055.78,1.3,47.33,521.65,2388.08,8142.24,8.4115,0.03,393,2388,100,38.79,23.2488
34,34,0.0038,-0.0001,100,518.67,642.45,1582.58,1405.64,14.62,21.61,553.91,2388.07,9056.63,1.3,47.37,521.54,2388.07,8137.42,8.4318,0.03,394,2388,100,38.8,23.3369
34,35,0.0001,0.0001,100,518.67,642.25,1593.06,1404.57,14.62,21.61,552.96,2388.1,9053.5,1.3,47.44,521.29,2388.04,8136.89,8.4296,0.03,393,2388,100,38.81,23.4492
34,36,0.0017,-0.0001,100,518.67,643.33,1584.04,1399,14.62,21.61,555.21,2388.1,9061.85,1.3,47.38,521.95,2388.04,8144.02,8.4243,0.03,392,2388,100,39.11,23.3295
34,37,-0.0013,0.0006,100,518.67,642.78,1588.01,1407.98,14.62,21.61,553.3,2388.07,9052.47,1.3,47.37,521.76,2388.13,8138.29,8.4321,0.03,393,2388,100,38.96,23.2246
34,38,0.0027,0.0002,100,518.67,642.81,1592.44,1404.47,14.62,21.61,553.97,2388.05,9062.28,1.3,47.71,521.79,2388.09,8145.18,8.4139,0.03,392,2388,100,38.82,23.2971
34,39,0.0048,-0.0004,100,518.67,642.52,1585.67,1404.37,14.62,21.61,553.18,2388.02,9060.39,1.3,47.39,521.56,2388.04,8137.56,8.4177,0.03,392,2388,100,38.82,23.3361
34,40,-0.0005,-0.0004,100,518.67,642.72,1588.38,1400.41,14.62,21.61,553.76,2388.05,9062.51,1.3,47.39,521.49,2388.07,8147.63,8.4386,0.03,393,2388,100,38.88,23.3154
34,41,0.0001,0.0003,100,518.67,641.78,1588.06,1400.25,14.62,21.61,553.73,2388.02,9055.12,1.3,47.34,521.72,2388.08,8139.01,8.4212,0.03,392,2388,100,39.09,23.2734
34,42,0.0025,0.0006,100,518.67,641.57,1587.67,1407.12,14.62,21.61,553.83,2388.07,9061.17,1.3,47.43,521.86,2388.07,8140.84,8.4427,0.03,393,2388,100,38.93,23.2725
34,43,0.0032,0.0004,100,518.67,642.4,1593.49,1407.26,14.62,21.61,553.64,2388.1,9058.17,1.3,47.41,521.74,2388.07,8139.37,8.4069,0.03,393,2388,100,38.96,23.3085
34,44,0.0016,-0.0002,100,518.67,642.74,1579.87,1402.52,14.62,21.61,554.25,2388.08,9059.87,1.3,47.43,521.58,2388.06,8137.86,8.4423,0.03,393,2388,100,39.07,23.3093
34,45,0.0047,-0.0001,100,518.67,642.9,1579.53,1407.75,14.62,21.61,554.15,2388.1,9060.95,1.3,47.52,521.8,2388.03,8136.11,8.4222,0.03,393,2388,100,38.93,23.2076
34,46,-0.0002,0.0004,100,518.67,642.85,1581.07,1413.07,14.62,21.61,553.68,2388.1,9057.01,1.3,47.42,521.83,2388.13,8142.22,8.4391,0.03,392,2388,100,38.85,23.2845
34,47,0.0003,-0.0003,100,518.67,642.39,1590.54,1406.22,14.62,21.61,553.94,2388.03,9066.25,1.3,47.34,521.62,2388.06,8141.14,8.4457,0.03,392,2388,100,38.96,23.38
34,48,-0.0028,0.0004,100,518.67,642.19,1585.97,1398.02,14.62,21.61,554.22,2388.1,9063.22,1.3,47.6,521.3,2388.09,8141.99,8.388,0.03,392,2388,100,38.87,23.2446
34,49,-0.0019,0.0001,100,518.67,642.19,1592.61,1407.11,14.62,21.6,553.72,2388.1,9051.07,1.3,47.43,521.13,2388.04,8138.07,8.4501,0.03,392,2388,100,38.89,23.4083
34,50,0.001,-0.0001,100,518.67,643.1,1586.32,1409.96,14.62,21.61,553.57,2388.08,9062.25,1.3,47.5,521.5,2388.12,8136.43,8.4074,0.03,393,2388,100,38.87,23.315
34,51,0.0022,-0.0001,100,518.67,642.32,1585.91,1404.25,14.62,21.61,552.8,2388.02,9068.73,1.3,47.52,521.61,2388.04,8139.62,8.4553,0.03,393,2388,100,38.95,23.2841
34,52,0.0006,-0.0004,100,518.67,642.74,1586.11,1402.05,14.62,21.61,553.77,2388.06,9058.26,1.3,47.24,521.86,2388.06,8138.45,8.4105,0.03,393,2388,100,38.93,23.3873
34,53,0.0009,0.0003,100,518.67,642.6,1593.38,1403.11,14.62,21.61,553.14,2388.07,9063.74,1.3,47.39,522.13,2388.08,8145.25,8.4292,0.03,393,2388,100,38.93,23.4019
34,54,-0.0015,0.0002,100,518.67,642.07,1595.68,1410.01,14.62,21.61,553.55,2388.1,9059.59,1.3,47.5,521.57,2388.09,8147.56,8.4226,0.03,394,2388,100,38.74,23.2064
34,55,-0.0002,-0.0003,100,518.67,642.62,1594.13,1405.19,14.62,21.61,553.49,2388.1,9053.94,1.3,47.48,521.67,2388.1,8140.26,8.4689,0.03,394,2388,100,38.9,23.2388
34,56,-0.0042,-0.0002,100,518.67,642.31,1589.15,1407.03,14.62,21.61,553.37,2388.06,9065.04,1.3,47.36,521.92,2388.07,8140.82,8.4042,0.03,393,2388,100,38.86,23.3543
34,57,-0.0016,0.0003,100,518.67,642.82,1585.1,1401.73,14.62,21.61,553.42,2388.1,9053.93,1.3,47.29,521.27,2388.03,8140.29,8.4528,0.03,392,2388,100,38.69,23.2589
